"REGIONE";"PROVINCIA";"COMUNE";"SPECIE";"DATA_SOSPETTO";"DATA_CONFERMA";"LONGITUDINE";"LATITUDINE";"ESITO";"DATA_PRELIEVO";"DATA"
"PIEMONTE";"AT";"ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.302233;44.912772;"N";2022-03-18;2022-03-18 15:00:00
"PIEMONTE";"AT";"MONTEGROSSO D'ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.206303;44.808104;"N";2022-03-19;2022-03-19 23:00:00
"PIEMONTE";"CN";"CHERASCO";"CINGHIALE(SELVATICI)";NA;NA;7.858192;44.64724;"N";2022-02-08;2022-02-08 20:30:00
"LIGURIA";"GE";"CERANESI";"CINGHIALE(SELVATICI)";NA;NA;8.84958;44.50695;"N";2022-02-07;2022-02-07 12:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;9.028179;44.384234;"N";2022-04-08;2022-04-08 14:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.937349;44.411957;"N";2022-04-05;2022-04-05 10:00:00
"EMILIA-ROMAGNA";"PC";"ALSENO";"CINGHIALE(SELVATICI)";NA;NA;10.006089;44.881764;"N";2022-01-19;2022-01-19 14:00:00
"EMILIA-ROMAGNA";"PC";"CASTELL'ARQUATO";"CINGHIALE(SELVATICI)";NA;NA;9.910202;44.872722;"N";2022-03-18;2022-03-18 08:30:00
"PIEMONTE";"CN";"MARENE";"CINGHIALE(SELVATICI)";NA;NA;7.723323;44.657095;"N";2022-03-04;2022-03-04 16:30:00
"PIEMONTE";"CN";"ALBA";"CINGHIALE(SELVATICI)";NA;NA;8.038512;44.689859;"N";2022-03-02;2022-03-02 21:00:00
"LOMBARDIA";"PV";"VAL DI NIZZA";"CINGHIALE(SELVATICI)";NA;NA;9.191708;44.882244;"N";2022-01-12;2022-01-13 00:00:00
"LIGURIA";"SV";"SAVONA";"CINGHIALE(SELVATICI)";NA;NA;8.47064;44.320367;"N";2022-01-16;2022-01-17 00:00:00
"LIGURIA";"SV";"ALBENGA";"CINGHIALE(SELVATICI)";NA;NA;8.211072;44.036958;"N";2022-01-24;2022-01-24 14:00:00
"PIEMONTE";"AL";"CASALE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.468628;45.082094;"N";2022-01-20;2022-01-20 08:44:00
"PIEMONTE";"AL";"QUATTORDIO";"CINGHIALE(SELVATICI)";NA;NA;8.406;44.875145;"N";2022-04-27;2022-04-28 01:20:00
"PIEMONTE";"AL";"ALLUVIONI PIOVERA";"CINGHIALE(SELVATICI)";NA;NA;8.756393;44.980837;"N";2022-04-29;2022-04-29 23:00:00
"PIEMONTE";"AL";"ROCCA GRIMALDA";"CINGHIALE(SELVATICI)";NA;NA;8.650662;44.668718;"N";2022-03-10;2022-03-10 11:00:00
"LIGURIA";"GE";"MELE";"CINGHIALE(SELVATICI)";NA;NA;8.752955;44.460574;"N";2022-03-18;2022-03-18 13:00:00
"PIEMONTE";"CN";"GRINZANE CAVOUR";"CINGHIALE(SELVATICI)";NA;NA;7.991386;44.666562;"N";2022-03-30;2022-03-30 14:00:00
"EMILIA-ROMAGNA";"PC";"BOBBIO";"CINGHIALE(SELVATICI)";NA;NA;9.30107;44.766308;"N";2022-01-22;2022-01-22 12:00:00
"EMILIA-ROMAGNA";"PC";"TRAVO";"CINGHIALE(SELVATICI)";NA;NA;9.548333;44.8575;"N";2022-03-18;2022-03-18 18:00:00
"EMILIA-ROMAGNA";"PC";"ALSENO";"CINGHIALE(SELVATICI)";NA;NA;9.903371;44.920895;"N";2022-02-02;2022-02-02 10:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.930277;44.428055;"N";2022-03-30;2022-03-30 11:45:00
"PIEMONTE";"CN";"CRAVANZANA";"CINGHIALE(SELVATICI)";NA;NA;8.116614;44.558661;"N";2022-03-30;2022-03-30 12:00:00
"PIEMONTE";"AT";"ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.272686;44.923316;"N";2022-02-23;2022-02-23 18:00:00
"PIEMONTE";"AL";"ALESSANDRIA";"CINGHIALE(SELVATICI)";NA;NA;8.651784;44.907212;"N";2022-04-21;2022-04-21 08:00:00
"PIEMONTE";"AT";"CALAMANDRANA";"CINGHIALE(SELVATICI)";NA;NA;8.363658;44.733097;"N";2022-04-18;2022-04-18 17:00:00
"PIEMONTE";"AL";"VIGNOLE BORBERA";"CINGHIALE(SELVATICI)";NA;NA;8.898922;44.714195;"N";2022-01-23;2022-01-23 11:00:00
"PIEMONTE";"AL";"PIETRA MARAZZI";"CINGHIALE(SELVATICI)";NA;NA;8.661084;44.932427;"N";2022-05-01;2022-05-01 23:30:00
"PIEMONTE";"CN";"CORTEMILIA";"CINGHIALE(SELVATICI)";NA;NA;8.192209;44.580758;"N";2022-04-29;2022-04-29 13:00:00
"PIEMONTE";"CN";"REVELLO";"CINGHIALE(SELVATICI)";NA;NA;7.439613;44.732572;"N";2022-03-18;2022-03-18 12:30:00
"PIEMONTE";"CN";"CASTIGLIONE FALLETTO";"CINGHIALE(SELVATICI)";NA;NA;7.968751;44.63571;"N";2022-03-14;2022-03-14 03:00:00
"PIEMONTE";"AT";"COSTIGLIOLE D'ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.149976;44.808513;"N";2022-04-19;2022-04-19 22:30:00
"LIGURIA";"SV";"PIANA CRIXIA";"CINGHIALE(SELVATICI)";NA;NA;8.303229;44.465781;"N";2022-01-10;2022-01-10 10:00:00
"PIEMONTE";"CN";"SANT'ALBANO STURA";"CINGHIALE(SELVATICI)";NA;NA;7.731748;44.524762;"N";2022-02-08;2022-02-08 08:00:00
"PIEMONTE";"AL";"SAN SALVATORE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.53724;44.981206;"N";2022-02-04;2022-02-04 12:00:00
"LIGURIA";"SV";"STELLA";"CINGHIALE(SELVATICI)";NA;NA;8.50641;44.363701;"N";2022-02-25;2022-02-26 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.983737;44.439526;"N";2022-01-21;2022-01-21 14:00:00
"LOMBARDIA";"PV";"CASTELLETTO DI BRANDUZZO";"CINGHIALE(SELVATICI)";NA;NA;9.088252;45.059665;"N";2022-03-07;2022-03-08 00:00:00
"PIEMONTE";"AL";"TAGLIOLO MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.684667;44.649618;"N";2022-02-11;2022-02-11 08:00:00
"PIEMONTE";"AT";"BUBBIO";"CINGHIALE(SELVATICI)";NA;NA;8.311111;44.657278;"N";2022-03-31;2022-03-31 08:00:00
"PIEMONTE";"AL";"PECETTO DI VALENZA";"CINGHIALE(SELVATICI)";NA;NA;8.651515;44.977709;"N";2022-02-09;2022-02-09 13:15:00
"PIEMONTE";"CN";"CUNEO";"CINGHIALE(SELVATICI)";NA;NA;7.590565;44.438646;"N";2022-04-08;2022-04-08 11:30:00
"PIEMONTE";"AL";"SERRAVALLE SCRIVIA";"CINGHIALE(SELVATICI)";NA;NA;8.848828;44.751208;"N";2022-03-25;2022-03-25 15:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.970436;44.404124;"N";2022-03-02;2022-03-02 14:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.894443;44.443967;"N";2022-04-20;2022-04-20 15:00:00
"PIEMONTE";"AL";"BASALUZZO";"SUINI(DOMESTICI)";NA;NA;8.721473;44.782798;"N";2022-03-06;2022-03-07 00:00:00
"PIEMONTE";"CN";"RACCONIGI";"SUINI(DOMESTICI)";NA;NA;7.713131;44.756118;"N";2022-04-05;2022-04-05 08:30:00
"PIEMONTE";"AL";"QUATTORDIO";"CINGHIALE(SELVATICI)";NA;NA;8.407;44.875313;"N";2022-04-27;2022-04-28 01:22:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.154348;44.370112;"N";2022-05-03;2022-05-03 14:00:00
"LOMBARDIA";"PV";"GODIASCO";"CINGHIALE(SELVATICI)";NA;NA;9.056368;44.895933;"N";2022-04-04;2022-04-05 00:00:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.158865;44.36798;"N";2022-04-22;2022-04-22 12:00:00
"PIEMONTE";"AT";"ROCCA D'ARAZZO";"CINGHIALE(SELVATICI)";NA;NA;8.265051;44.85661;"N";2022-04-19;2022-04-19 23:55:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.946792;44.420392;"N";2022-05-04;2022-05-04 14:00:00
"EMILIA-ROMAGNA";"PC";"MONTICELLI D'ONGINA";"SUINI(DOMESTICI)";NA;NA;9.93822;45.061719;"N";2022-04-05;2022-04-05 11:00:00
"PIEMONTE";"AT";"CASTELNUOVO CALCEA";"CINGHIALE(SELVATICI)";NA;NA;8.28748;44.7991;"N";2022-02-12;2022-02-12 11:00:00
"PIEMONTE";"AT";"CORTIGLIONE";"CINGHIALE(SELVATICI)";NA;NA;8.367016;44.832004;"N";2022-03-23;2022-03-23 22:00:00
"PIEMONTE";"AT";"ROCCA D'ARAZZO";"CINGHIALE(SELVATICI)";NA;NA;8.26505;44.85663;"N";2022-04-19;2022-04-19 23:50:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.977633;44.440345;"N";2022-04-19;2022-04-19 14:30:00
"PIEMONTE";"CN";"VICOFORTE";"CINGHIALE(SELVATICI)";NA;NA;7.837854;44.358555;"N";2022-01-31;2022-01-31 10:00:00
"LOMBARDIA";"PV";"VOGHERA";"CINGHIALE(SELVATICI)";NA;NA;9.012044;44.99166;"N";2022-02-07;2022-02-08 00:00:00
"PIEMONTE";"AT";"ROCCA D'ARAZZO";"CINGHIALE(SELVATICI)";NA;NA;8.263087;44.85525;"N";2022-04-21;2022-04-21 04:00:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.148564;44.369475;"N";2022-04-13;2022-04-13 14:30:00
"LIGURIA";"GE";"PIEVE LIGURE";"CINGHIALE(SELVATICI)";NA;NA;9.096218;44.38063;"N";2022-04-30;2022-05-01 00:00:00
"LIGURIA";"GE";"SANTA MARGHERITA LIGURE";"CINGHIALE(SELVATICI)";NA;NA;9.213659;44.334574;"N";2022-04-25;2022-04-26 00:00:00
"PIEMONTE";"CN";"BRA";"CINGHIALE(SELVATICI)";NA;NA;7.829131;44.739078;"N";2022-02-19;2022-02-19 20:00:00
"PIEMONTE";"AL";"PREDOSA";"CINGHIALE(SELVATICI)";NA;NA;8.643825;44.790149;"N";2022-03-19;2022-03-19 17:00:00
"LOMBARDIA";"PV";"PIEVE DEL CAIRO";"CINGHIALE(SELVATICI)";NA;NA;8.814228;45.062427;"N";2022-03-18;2022-03-19 00:00:00
"PIEMONTE";"AL";"VIGNOLE BORBERA";"CINGHIALE(SELVATICI)";NA;NA;8.884116;44.709376;"N";2022-03-09;2022-03-09 08:15:00
"PIEMONTE";"CN";"CHERASCO";"CINGHIALE(SELVATICI)";NA;NA;7.858192;44.64724;"N";2022-02-04;2022-02-04 09:00:00
"LOMBARDIA";"PV";"BAGNARIA";"CINGHIALE(SELVATICI)";NA;NA;9.134431;44.82376;"N";2022-02-27;2022-02-28 00:00:00
"PIEMONTE";"AT";"MONTALDO SCARAMPI";"CINGHIALE(SELVATICI)";NA;NA;8.279329;44.843224;"N";2022-02-19;2022-02-19 11:00:00
